eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss
50.0,30000,0.0,,,,,,,,,,,,,,,
,30720,,19,0.215,50.12,15,1579,,,,,,,,,,
50.0,31000,0.10000000149011612,,,,,,0.2,-0.017667809437261893,0.5821100175380707,150,0.01495631,0.0003,0.183447265625,-0.04997624456882477,0.0014822607452515512,-4.668433114886284
50.0,32000,0.10000000149011612,,,,,,,,,,,,,,,
,32768,,19,0.252,49.73,16,1684,,,,,,,,,,
50.0,33000,0.30000000447034836,,,,,,0.2,-0.02146989632747136,0.5624741613864899,160,0.013993659,0.0003,0.184716796875,-0.026736464351415634,0.0021847268893907313,-4.586633840203286
50.0,34000,0.30000000447034836,,,,,,,,,,,,,,,
,34816,,19,0.26899999999999996,49.15,17,1789,,,,,,,,,,
4.0,35000,0.4000000059604645,,,,,,0.2,-0.018817987319198436,0.6400439441204071,170,0.014531584,0.0003,0.17265625,0.02112668938934803,0.0018267189681864693,-4.526222153007984
4.0,36000,0.4000000059604645,,,,,,,,,,,,,,,
,36864,,19,0.274,48.07,18,1874,,,,,,,,,,
4.0,37000,0.4000000059604645,,,,,,0.2,-0.021559256516047752,0.6855643391609192,180,0.014618873,0.0003,0.187939453125,-0.021126069128513336,0.0016560088755795733,-4.496257816255093
4.0,38000,0.4000000059604645,,,,,,,,,,,,,,,
,38912,,19,0.31199999999999994,43.7,19,1959,,,,,,,,,,
4.0,39000,0.4000000059604645,,,,,,0.2,-0.0228531890315935,0.6448118090629578,190,0.017191544,0.0003,0.21181640625,-0.044589217752218246,0.002250505654592416,-4.417678049206733
4.0,40000,0.4000000059604645,,,,,,,,,,,,,,,
,40960,,20,0.33499999999999985,41.38,20,2043,,,,,,,,,,
4.0,41000,0.4000000059604645,,,,,,0.2,-0.024596312636276707,0.7357358038425446,200,0.01602204,0.0003,0.206982421875,-0.016930056735873222,0.0017027405889166402,-4.327524583041668
4.0,42000,0.4000000059604645,,,,,,,,,,,,,,,
4.0,43000,0.4000000059604645,,,,,,,,,,,,,,,
,43008,,20,0.34699999999999986,39.18,21,2127,,,,,,,,,,
4.0,44000,0.4000000059604645,,,,,,0.2,-0.02413145464088302,0.795028805732727,210,0.013723845,0.0003,0.20146484375,-0.019711878150701523,0.0015276755470040372,-4.226176476478576
4.0,45000,0.4000000059604645,,,,,,,,,,,,,,,
,45056,,20,0.37099999999999994,34.28,22,2210,,,,,,,,,,
4.0,46000,0.4000000059604645,,,,,,0.2,-0.021448420794331468,0.8349906951189041,220,0.015521784,0.0003,0.2146484375,-0.053222257643938065,0.0013625129078718601,-4.166339808702469
4.0,47000,0.4000000059604645,,,,,,,,,,,,,,,
,47104,,20,0.38099999999999995,28.98,23,2293,,,,,,,,,,
4.0,48000,0.4000000059604645,,,,,,0.2,-0.03126304520992562,0.8513862192630768,230,0.018909536,0.0003,0.2615234375,-0.053249794989824295,0.0013566338900091069,-3.9860836938023567
4.0,49000,0.4000000059604645,,,,,,,,,,,,,,,
,49152,,20,0.39599999999999996,26.02,24,2376,,,,,,,,,,
4.0,50000,0.4000000059604645,,,,,,0.2,-0.024990704937954432,0.9186935126781464,240,0.018783543,0.0003,0.269775390625,-0.0401994027197361,0.0008040159875235986,-3.86491646617651
4.0,51000,0.4000000059604645,,,,,,,,,,,,,,,
,51200,,20,0.3989999999999999,22.78,25,2458,,,,,,,,,,
4.0,52000,0.4000000059604645,,,,,,0.2,-0.02222448239917867,0.8454539626836777,250,0.024308674,0.0003,0.30029296875,-0.040828462690114975,0.0013493964864210283,-3.632447879016399
4.0,53000,0.4000000059604645,,,,,,,,,,,,,,,
,53248,,20,0.40299999999999997,15.26,26,2538,,,,,,,,,,
4.0,54000,0.4000000059604645,,,,,,0.2,-0.03251905210490804,0.959444984793663,260,0.023664284,0.0003,0.36572265625,-0.017259348183870316,0.0004328442158339385,-3.3429989591240883
4.0,55000,0.4000000059604645,,,,,,,,,,,,,,,
,55296,,21,0.4029999999999999,14.52,27,2618,,,,,,,,,,
4.0,56000,0.4000000059604645,,,,,,0.2,-0.049262919343891556,0.9843840077519417,270,0.025280926,0.0003,0.41748046875,-0.06282773613929749,0.00018365639672310863,-3.115480823814869
4.0,57000,0.4000000059604645,,,,,,,,,,,,,,,
,57344,,21,0.40299999999999997,11.71,28,2697,,,,,,,,,,
4.0,58000,0.4000000059604645,,,,,,0.2,-0.03800339766603429,0.9761592205613852,280,0.021109538,0.0003,0.34248046875,-0.018484845757484436,0.000282654379111591,-2.7505671620368957
4.0,59000,0.4000000059604645,,,,,,,,,,,,,,,
,59392,,21,0.40299999999999997,9.52,29,2775,,,,,,,,,,
4.0,60000,0.4000000059604645,,,,,,0.2,-0.03819191075162962,0.9597807042300701,290,0.037906334,0.0003,0.472802734375,0.015758374705910683,0.0005431511327032013,-2.4216366425156592
4.0,61000,0.4000000059604645,,,,,,,,,,,,,,,
,61440,,21,0.40099999999999997,8.2,30,2850,,,,,,,,,,
4.0,62000,0.4000000059604645,,,,,,0.2,-0.03774540323356632,0.9874961664900184,300,0.06719081,0.0003,0.345556640625,-0.002772240899503231,8.44554716891821e-05,-2.191519271954894
4.0,63000,0.4000000059604645,,,,,,,,,,,,,,,
,63488,,21,0.40299999999999997,8.49,31,2926,,,,,,,,,,
4.0,64000,0.4000000059604645,,,,,,0.2,-0.06611797103541903,0.9812533371150494,310,0.22869352,0.0003,0.591455078125,-0.047514334321022034,0.0002565942868130833,-1.5212816666811704
4.0,65000,0.4000000059604645,,,,,,,,,,,,,,,
,65536,,21,0.3999999999999999,4.98,32,2997,,,,,,,,,,
4.0,66000,0.4000000059604645,,,,,,0.2,-0.03986235792108346,0.9952129786834121,320,0.027822457,0.0003,0.234423828125,-0.05106387287378311,6.30754488234686e-05,-0.8794718513265252
4.0,67000,0.4000000059604645,,,,,,,,,,,,,,,
,67584,,22,0.3999999999999999,4.69,33,3066,,,,,,,,,,
4.0,68000,0.4000000059604645,,,,,,0.2,-0.04105580492177978,0.9989585826406255,330,0.038450394,0.0003,0.250830078125,-0.019535835832357407,1.21888227827327e-05,-0.5316725355572999
4.0,69000,0.4000000059604645,,,,,,,,,,,,,,,
,69632,,22,0.3999999999999999,4.3,34,3135,,,,,,,,,,
