time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates
121000,1000.0,0.10000000149011612,,,,,,0.07124722748994827,-5.610792019963265,0.0003,0.18310546875,0.2,0.00015165962177547953,0.023326077,0.9532419815659523,-0.02106843019137159,590
122000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
122880,,,4933,1002.6,24,60,0.74,,,,,,,,,,
123000,1000.0,0.10000000149011612,,,,,,-0.050540417432785034,-5.538618426024914,0.0003,0.2150390625,0.2,8.759286605197758e-05,0.023995975,0.9683823250234127,-0.023792950875940733,600
124000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
124928,,,5014,999.78,24,61,0.7370000000000002,,,,,,,,,,
125000,1000.0,0.10000000149011612,,,,,,-0.05095198005437851,-5.595527124404907,0.0003,0.23642578125,0.2,0.00028571198683948753,0.0217091,0.9373620823025703,-0.02317893968865974,610
126000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
126976,,,5096,999.43,24,62,0.7410000000000001,,,,,,,,,,
127000,1000.0,0.10000000149011612,,,,,,-0.03007913939654827,-5.491733540594578,0.0003,0.192626953125,0.2,0.0003432253463415691,0.017177563,0.8966608569025993,-0.026405067823361605,620
128000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
129000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
129024,,,5205,996.26,24,63,0.7510000000000001,,,,,,,,,,
130000,1000.0,0.10000000149011612,,,,,,-0.027614034712314606,-5.430459475517273,0.0003,0.200341796875,0.2,0.0008383096651414235,0.017670266,0.8930712789297104,-0.02581211236829404,630
131000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
131072,,,5287,1000.0,24,64,0.7609999999999999,,,,,,,,,,
132000,1000.0,0.10000000149011612,,,,,,-0.06281300634145737,-5.368933749198914,0.0003,0.209228515625,0.2,0.00030771897473869103,0.01986641,0.9527503401041031,-0.024309217298286966,640
133000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
133120,,,5369,998.26,24,65,0.7619999999999999,,,,,,,,,,
134000,1000.0,0.10000000149011612,,,,,,0.003198777325451374,-5.46084817647934,0.0003,0.16484375,0.2,0.0004627907467011028,0.01969016,0.8870689198374748,-0.026956921149394474,650
135000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
135168,,,5450,998.01,24,66,0.7799999999999998,,,,,,,,,,
136000,1000.0,0.10000000149011612,,,,,,-0.018559034913778305,-5.483423584699631,0.0003,0.181787109375,0.2,0.0015527308641594573,0.016973253,0.7947675436735153,-0.014433321679825894,660
137000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
137216,,,5532,1000.0,24,67,0.786,,,,,,,,,,
