time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
57000,0.20000000298023224,50.0,,,,,,,,,,,,,,,
57344,,,16.42,20,2777,0.40299999999999997,28,,,,,,,,,,
58000,0.4000000059604645,4.0,,,,,,0.0003,-0.030420685186982155,0.00020860120918086977,0.017718345,280,0.9690540097653866,0.2,-0.019323897338472305,-3.2050403036177157,0.208447265625
59000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
59392,,,13.48,20,2857,0.40099999999999997,29,,,,,,,,,,
60000,0.4000000059604645,4.0,,,,,,0.0003,0.0049184043891727924,0.00012507069106959534,0.020639082,290,0.9795603677630424,0.2,-0.02171194560069125,-3.0435227520763872,0.19736328125
61000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
61440,,,12.73,20,2936,0.4019999999999999,30,,,,,,,,,,
62000,0.4000000059604645,4.0,,,,,,0.0003,-0.03582657128572464,0.0002708436450006957,0.02476797,300,0.9722314905375242,0.2,-0.03308894578076434,-2.818310359120369,0.35693359375
63000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
63488,,,10.63,21,3014,0.40099999999999997,31,,,,,,,,,,
64000,0.4000000059604645,4.0,,,,,,0.0003,-0.05603797361254692,0.00036678148896953646,0.031932168,310,0.964999619871378,0.2,-0.031055364737403578,-2.5094197526574136,0.346142578125
65000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
65536,,,8.53,21,3092,0.4019999999999999,32,,,,,,,,,,
66000,0.4000000059604645,4.0,,,,,,0.0003,-0.08450721949338913,0.0001150390966301984,0.031104263,320,0.9890301926061511,0.2,-0.043510746164247396,-2.089175295829773,0.42138671875
67000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
67584,,,7.53,21,3167,0.40299999999999997,33,,,,,,,,,,
68000,0.4000000059604645,4.0,,,,,,0.0003,-0.04403679445385933,0.00018718124673569036,0.096199594,330,0.9776895307004452,0.2,-0.041218632430536674,-1.5654250901192426,0.417822265625
69000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
69632,,,5.49,21,3239,0.3999999999999999,34,,,,,,,,,,
70000,0.4000000059604645,4.0,,,,,,0.0003,0.0035127028822898865,0.0002599309546056361,0.013878787,340,0.9773324690759182,0.2,-0.02319125441426877,-1.1327100256457925,0.27900390625
71000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
71680,,,5.12,21,3310,0.3999999999999999,35,,,,,,,,,,
72000,0.4000000059604645,4.0,,,,,,0.0003,-0.06318416446447372,0.00018165976301105503,0.02771496,350,0.9836254958063364,0.2,-0.039484117785468696,-0.8530456537380815,0.22138671875
73000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
73728,,,4.74,21,3380,0.3999999999999999,36,,,,,,,,,,
74000,0.4000000059604645,4.0,,,,,,0.0003,-0.008157250471413136,5.963364369883095e-05,0.004683006,360,0.9907211726531386,0.2,-0.007877629474387504,-0.701448535732925,0.050439453125
75000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
75776,,,4.72,21,3449,0.3999999999999999,37,,,,,,,,,,
76000,0.4000000059604645,4.0,,,,,,0.0003,-0.09860397130250931,2.1811235024671306e-05,0.07222945,370,0.9952612090855837,0.2,-0.026335330455913207,-0.47253960045054555,0.09287109375
77000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
77824,,,4.42,22,3519,0.3999999999999999,38,,,,,,,,,,
78000,0.4000000059604645,4.0,,,,,,0.0003,-0.05027026683092117,0.00011802765522048731,0.01096753,380,0.9897373532876372,0.2,-0.028972651745425536,-0.5030192815698683,0.10166015625
79000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
