eval/mean_ep_length,time/total_timesteps,eval/mean_reward,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance
50.0,35000,0.30000000447034836,,,,,,-0.02074167086102534,0.208837890625,-4.518075822293758,0.017878255,0.0007470083002772299,-0.023973247036337852,0.0003,0.2,170,0.9068635702133179
50.0,36000,0.30000000447034836,,,,,,,,,,,,,,,
,36864,,0.303,19,18,1870,49.86,,,,,,,,,,
50.0,37000,0.30000000447034836,,,,,,-0.02031559041934088,0.212548828125,-4.490555199980736,0.01448206,0.0008424078204370744,-0.01977035216987133,0.0003,0.2,180,0.9037445560097694
50.0,38000,0.30000000447034836,,,,,,,,,,,,,,,
,38912,,0.31299999999999994,19,19,1974,49.5,,,,,,,,,,
50.0,39000,0.30000000447034836,,,,,,-0.017221356624213514,0.196240234375,-4.468524800240994,0.015610011,0.0010049227835224883,0.006220794748514891,0.0003,0.2,190,0.8637978285551071
50.0,40000,0.30000000447034836,,,,,,,,,,,,,,,
,40960,,0.31499999999999995,19,20,2078,48.65,,,,,,,,,,
50.0,41000,0.30000000447034836,,,,,,-0.016512746090302243,0.1771484375,-4.470151367783546,0.015745733,0.0006359506667195092,-0.010631411336362362,0.0003,0.2,200,0.9218211695551872
50.0,42000,0.30000000447034836,,,,,,,,,,,,,,,
50.0,43000,0.30000000447034836,,,,,,,,,,,,,,,
,43008,,0.3239999999999999,19,21,2191,47.64,,,,,,,,,,
50.0,44000,0.30000000447034836,,,,,,-0.0077134717488661405,0.149609375,-4.470761933922768,0.010547742,0.0013234652421488136,-0.0025245677679777145,0.0003,0.2,210,0.8883619755506516
50.0,45000,0.30000000447034836,,,,,,,,,,,,,,,
,45056,,0.3279999999999999,19,22,2295,48.0,,,,,,,,,,
50.0,46000,0.30000000447034836,,,,,,-0.012356345396256074,0.17783203125,-4.568344183266163,0.012334201,0.0005813292200514298,0.009300616569817066,0.0003,0.2,220,0.945465225726366
50.0,47000,0.30000000447034836,,,,,,,,,,,,,,,
,47104,,0.32699999999999996,19,23,2399,47.61,,,,,,,,,,
50.0,48000,0.30000000447034836,,,,,,-0.00839428577455692,0.135791015625,-4.4856972560286525,0.011064317,0.0007047595584936062,-0.010033687576651573,0.0003,0.2,230,0.9271099716424942
50.0,49000,0.30000000447034836,,,,,,,,,,,,,,,
,49152,,0.3269999999999999,19,24,2503,47.98,,,,,,,,,,
50.0,50000,0.30000000447034836,,,,,,-0.005501788583933376,0.098974609375,-4.45131294131279,0.009967296,0.0008303610583425325,0.007023009005934,0.0003,0.2,240,0.908919207751751
50.0,51000,0.30000000447034836,,,,,,,,,,,,,,,
,51200,,0.3429999999999998,19,25,2606,44.34,,,,,,,,,,
50.0,52000,0.30000000447034836,,,,,,-0.014662928093457595,0.15078125,-4.446700270473957,0.011931046,0.001052029437778401,-0.007058102637529373,0.0003,0.2,250,0.88250832259655
50.0,53000,0.30000000447034836,,,,,,,,,,,,,,,
,53248,,0.33899999999999975,19,26,2710,45.19,,,,,,,,,,
50.0,54000,0.30000000447034836,,,,,,-0.007440181737183593,0.1314453125,-4.435668435692787,0.01041981,0.0006795079096207246,-0.01125851459801197,0.0003,0.2,260,0.9289206638932228
50.0,55000,0.30000000447034836,,,,,,,,,,,,,,,
,55296,,0.34099999999999986,19,27,2814,43.79,,,,,,,,,,
50.0,56000,0.30000000447034836,,,,,,-0.01203864642593544,0.154833984375,-4.401059864461422,0.010257745,0.0012716301530417695,-0.032654110342264175,0.0003,0.2,270,0.82853664457798
50.0,57000,0.30000000447034836,,,,,,,,,,,,,,,
,57344,,0.3529999999999998,19,28,2917,40.94,,,,,,,,,,
50.0,58000,0.30000000447034836,,,,,,-0.008830846958153416,0.124365234375,-4.444700814783573,0.009508287,0.001255292042878864,0.004483463708311319,0.0003,0.2,280,0.8460508584976196
50.0,59000,0.30000000447034836,,,,,,,,,,,,,,,
,59392,,0.3669999999999999,19,29,3020,37.22,,,,,,,,,,
50.0,60000,0.30000000447034836,,,,,,-0.01409247937554028,0.16279296875,-4.365647953748703,0.01368172,0.0010602177836517511,-0.008669263683259487,0.0003,0.2,290,0.8629858195781708
50.0,61000,0.30000000447034836,,,,,,,,,,,,,,,
,61440,,0.38099999999999995,19,30,3123,31.35,,,,,,,,,,
50.0,62000,0.30000000447034836,,,,,,-0.013583395094610751,0.15009765625,-4.244276560842991,0.0143970195,0.0011341587609422278,-0.014578490518033504,0.0003,0.2,300,0.8653068691492081
50.0,63000,0.30000000447034836,,,,,,,,,,,,,,,
,63488,,0.37499999999999994,19,31,3225,30.05,,,,,,,,,,
50.0,64000,0.30000000447034836,,,,,,-0.013253187293594237,0.1623046875,-4.271074146777392,0.0104105575,0.00126593574823346,-0.006527430843561888,0.0003,0.2,310,0.8457135856151581
50.0,65000,0.30000000447034836,,,,,,,,,,,,,,,
,65536,,0.3809999999999999,19,32,3327,30.08,,,,,,,,,,
4.0,66000,0.4000000059604645,,,,,,-0.011668688083591405,0.14248046875,-4.2319203861057755,0.009938086,0.0012249007642822108,-0.01942218653857708,0.0003,0.2,320,0.8191000074148178
4.0,67000,0.4000000059604645,,,,,,,,,,,,,,,
,67584,,0.39099999999999996,19,33,3410,26.58,,,,,,,,,,
4.0,68000,0.4000000059604645,,,,,,-0.012512451200746,0.165234375,-4.074567990750074,0.012105688,0.0010795141565722588,-0.009292550384998322,0.0003,0.2,330,0.8770216554403305
4.0,69000,0.4000000059604645,,,,,,,,,,,,,,,
,69632,,0.39199999999999996,19,34,3492,22.49,,,,,,,,,,
4.0,70000,0.4000000059604645,,,,,,-0.0075929766317131,0.1251953125,-3.9628932647407056,0.007327425,0.0012749426159643917,-0.0003885610494762659,0.0003,0.2,340,0.8560443073511124
4.0,71000,0.4000000059604645,,,,,,,,,,,,,,,
,71680,,0.3989999999999999,20,35,3574,21.18,,,,,,,,,,
4.0,72000,0.4000000059604645,,,,,,-0.009443081976496615,0.161669921875,-3.8829224638640882,0.011089664,0.0009101353055939399,-0.0046600052155554295,0.0003,0.2,350,0.88968425989151
4.0,73000,0.4000000059604645,,,,,,,,,,,,,,,
,73728,,0.4019999999999999,20,36,3655,17.16,,,,,,,,,,
4.0,74000,0.4000000059604645,,,,,,-0.021170064105535857,0.247021484375,-3.6737840354442595,0.02028476,0.0007750198559961063,-0.011786341667175293,0.0003,0.2,360,0.9215266481041908
4.0,75000,0.4000000059604645,,,,,,,,,,,,,,,
,75776,,0.39799999999999996,20,37,3736,15.86,,,,,,,,,,
4.0,76000,0.4000000059604645,,,,,,-0.01453742650046479,0.221923828125,-3.5219043932855127,0.014403129,0.0005611123415974362,-0.004094347823411226,0.0003,0.2,370,0.9351680278778076
4.0,77000,0.4000000059604645,,,,,,,,,,,,,,,
,77824,,0.40299999999999997,20,38,3816,13.74,,,,,,,,,,
4.0,78000,0.4000000059604645,,,,,,-0.009161290628253483,0.1853515625,-3.389994751662016,0.009915333,0.0007529367407641985,-0.01319374330341816,0.0003,0.2,380,0.9179169684648514
4.0,79000,0.4000000059604645,,,,,,,,,,,,,,,
,79872,,0.40299999999999997,20,39,3895,12.53,,,,,,,,,,
4.0,80000,0.4000000059604645,,,,,,-0.029323008039500564,0.416845703125,-2.9952141128480436,0.025148135,0.0003900568356414169,-0.033758994191884995,0.0003,0.2,390,0.9646087661385536
4.0,81000,0.4000000059604645,,,,,,,,,,,,,,,
,81920,,0.3999999999999999,20,40,3972,9.71,,,,,,,,,,
4.0,82000,0.4000000059604645,,,,,,-0.020996482293412555,0.23212890625,-2.664412157982588,0.010942322,8.047088724367768e-05,-0.03097640909254551,0.0003,0.2,400,0.9916809340938926
4.0,83000,0.4000000059604645,,,,,,,,,,,,,,,
,83968,,0.3999999999999999,20,41,4048,8.06,,,,,,,,,,
4.0,84000,0.4000000059604645,,,,,,-0.03354003038111841,0.21298828125,-2.1852120477706194,0.01739792,2.926836426411228e-05,-0.028272882103919983,0.0003,0.2,410,0.9972188177052885
4.0,85000,0.4000000059604645,,,,,,,,,,,,,,,
4.0,86000,0.4000000059604645,,,,,,,,,,,,,,,
,86016,,0.40299999999999997,20,42,4124,7.09,,,,,,,,,,
4.0,87000,0.4000000059604645,,,,,,-0.03590741466614418,0.443798828125,-1.4539387622848152,0.1701926,0.0004700940800745457,-0.07016529142856598,0.0003,0.2,420,0.9672465734183788
4.0,88000,0.4000000059604645,,,,,,,,,,,,,,,
,88064,,0.40099999999999997,20,43,4194,4.82,,,,,,,,,,
4.0,89000,0.4000000059604645,,,,,,-0.06595783685334027,0.357080078125,-0.8717519737780094,0.023034105,1.932591003637185e-05,-0.0812208279967308,0.0003,0.2,430,0.9983621495775878
4.0,90000,0.4000000059604645,,,,,,,,,,,,,,,
,90112,,0.40099999999999997,21,44,4264,5.08,,,,,,,,,,
4.0,91000,0.4000000059604645,,,,,,-0.06384517026599497,0.331201171875,-0.6890359518118203,0.0662266,2.500655017882991e-05,-0.12160588800907135,0.0003,0.2,440,0.9980661707231775
4.0,92000,0.4000000059604645,,,,,,,,,,,,,,,
,92160,,0.40299999999999997,21,45,4335,5.14,,,,,,,,,,
4.0,93000,0.4000000059604645,,,,,,-0.03775422866456211,0.329638671875,-0.6747259700670838,0.04979682,0.0002446796602022516,-0.05956358090043068,0.0003,0.2,450,0.9838073141872883
4.0,94000,0.4000000059604645,,,,,,,,,,,,,,,
,94208,,0.40299999999999997,21,46,4403,4.7,,,,,,,,,,
4.0,95000,0.4000000059604645,,,,,,-0.01914968609053176,0.270166015625,-0.4186215317808092,0.018177513,0.00022374991946705336,0.04421459138393402,0.0003,0.2,460,0.9849070310592651
4.0,96000,0.4000000059604645,,,,,,,,,,,,,,,
,96256,,0.40299999999999997,21,47,4471,4.47,,,,,,,,,,
4.0,97000,0.4000000059604645,,,,,,-0.033763529421412385,0.176806640625,-0.5250391468405724,0.015247923,0.00017918808011607723,-0.07417095452547073,0.0003,0.2,470,0.9782365709543228
4.0,98000,0.4000000059604645,,,,,,,,,,,,,,,
,98304,,0.4019999999999999,21,48,4540,4.74,,,,,,,,,,
4.0,99000,0.4000000059604645,,,,,,-0.020246411065454595,0.1951171875,-0.47082553068175914,0.023270523,0.00021347276822183403,-0.016804654151201248,0.0003,0.2,480,0.9847382521256804
4.0,100000,0.4000000059604645,,,,,,,,,,,,,,,
,100352,,0.40099999999999997,21,49,4608,4.67,,,,,,,,,,
