eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl
0.0,71000,1000.0,,,,,,,,,,,,,,,
,71680,,2871,1000.0,24,35,0.6704225352112676,,,,,,,,,,
0.0,72000,1000.0,,,,,,350,0.0004599874014274974,0.18564453125,0.0003,-6.1697052955627445,-0.032188709038018716,0.2,-0.043277766555547714,0.8977904319763184,0.015943248
0.0,73000,1000.0,,,,,,,,,,,,,,,
,73728,,2953,1000.0,24,36,0.673972602739726,,,,,,,,,,
0.0,74000,1000.0,,,,,,360,0.0004299243260447838,0.17978515625,0.0003,-6.115824241936207,-0.027094538154779003,0.2,-0.049902692437171936,0.8614692240953445,0.01580444
0.0,75000,1000.0,,,,,,,,,,,,,,,
,75776,,3034,1000.0,24,37,0.6746666666666666,,,,,,,,,,
0.0,76000,1000.0,,,,,,370,0.000488623169803759,0.1525390625,0.0003,-6.074748791754246,-0.022664300684118642,0.2,-0.07091661542654037,0.900201253592968,0.013367027
0.0,77000,1000.0,,,,,,,,,,,,,,,
,77824,,3116,1000.0,24,38,0.6766233766233767,,,,,,,,,,
0.10000000149011612,78000,1000.0,,,,,,380,0.0003234469590665867,0.182666015625,0.0003,-6.115898460149765,-0.024669176334282384,0.2,-0.03498997166752815,0.907265692949295,0.01794326
0.10000000149011612,79000,1000.0,,,,,,,,,,,,,,,
,79872,,3197,1000.0,24,39,0.6746835443037975,,,,,,,,,,
0.10000000149011612,80000,1000.0,,,,,,390,0.0005058271569168937,0.172998046875,0.0003,-6.128038039803505,-0.027449418415199035,0.2,-0.014225125312805176,0.9146001487970352,0.015392955
0.10000000149011612,81000,1000.0,,,,,,,,,,,,,,,
,81920,,3279,1000.0,24,40,0.6765432098765433,,,,,,,,,,
0.10000000149011612,82000,1000.0,,,,,,400,0.0008271439856798679,0.1775390625,0.0003,-6.099619969725609,-0.024440185257117265,0.2,-0.04362010583281517,0.8316939324140549,0.015453637
0.10000000149011612,83000,1000.0,,,,,,,,,,,,,,,
,83968,,3360,1000.0,24,41,0.6759036144578314,,,,,,,,,,
0.10000000149011612,84000,1000.0,,,,,,410,0.0004033209651879588,0.168701171875,0.0003,-6.055801364779472,-0.02379363953223219,0.2,-0.03170344606041908,0.8687989115715027,0.014700944
0.10000000149011612,85000,1000.0,,,,,,,,,,,,,,,
0.10000000149011612,86000,1000.0,,,,,,,,,,,,,,,
,86016,,3469,1000.0,24,42,0.6790697674418605,,,,,,,,,,
0.10000000149011612,87000,1000.0,,,,,,420,0.0006287673663791793,0.178076171875,0.0003,-6.01963407099247,-0.02534536802704679,0.2,-0.031002547591924667,0.8704000413417816,0.015638132
0.10000000149011612,88000,1000.0,,,,,,,,,,,,,,,
,88064,,3550,1000.0,24,43,0.6784090909090909,,,,,,,,,,
0.10000000149011612,89000,1000.0,,,,,,430,0.0003488134031044865,0.21865234375,0.0003,-6.036883901059627,-0.02233131194661837,0.2,0.0030084806494414806,0.8567731231451035,0.018041508
0.10000000149011612,90000,1000.0,,,,,,,,,,,,,,,
,90112,,3632,1000.0,24,44,0.6799999999999999,,,,,,,,,,
0.10000000149011612,91000,1000.0,,,,,,440,0.00036603689609364664,0.197509765625,0.0003,-6.059283699095249,-0.02202964962925762,0.2,-0.027978332713246346,0.730550080537796,0.018545557
0.10000000149011612,92000,1000.0,,,,,,,,,,,,,,,
,92160,,3713,1000.0,24,45,0.6782608695652174,,,,,,,,,,
0.10000000149011612,93000,1000.0,,,,,,450,0.0004097026875115262,0.254541015625,0.0003,-5.8739720925688745,-0.02309190691448748,0.2,-0.04492192342877388,0.7278740406036377,0.019749874
0.10000000149011612,94000,1000.0,,,,,,,,,,,,,,,
,94208,,3795,1000.0,24,46,0.6776595744680851,,,,,,,,,,
0.10000000149011612,95000,1000.0,,,,,,460,0.00020590441130252657,0.19560546875,0.0003,-6.001705372333527,-0.022721110764541662,0.2,-0.034229062497615814,0.8572315871715546,0.016332151
0.10000000149011612,96000,1000.0,,,,,,,,,,,,,,,
,96256,,3876,993.3854166666666,24,47,0.6802083333333333,,,,,,,,,,
0.20000000298023224,97000,1000.0,,,,,,470,0.0006766551548025746,0.186572265625,0.0003,-5.929401989281177,-0.02444885454024188,0.2,-0.022432390600442886,0.9020555093884468,0.016630145
0.20000000298023224,98000,1000.0,,,,,,,,,,,,,,,
,98304,,3957,998.6938775510204,24,48,0.6877551020408164,,,,,,,,,,
0.20000000298023224,99000,1000.0,,,,,,480,0.0004108392583020759,0.17734375,0.0003,-5.972788101434707,-0.02515683963720221,0.2,-0.03674418106675148,0.8874902278184891,0.014805268
0.20000000298023224,100000,1000.0,,,,,,,,,,,,,,,
,100352,,4038,1000.0,24,49,0.693,,,,,,,,,,
0.20000000298023224,101000,1000.0,,,,,,490,0.0007746923006379802,0.233935546875,0.0003,-5.980781361460686,-0.030264800862642004,0.2,-0.04844247177243233,0.9148419797420502,0.020398725
