time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss
141312,,,69,0.9930000000000002,862.94,24,5703,,,,,,,,,,
142000,0.30000000447034836,1000.0,,,,,,-0.01802918942994438,690,0.2,0.19326171875,0.0003,-0.0038754944689571857,0.0016911269890442782,0.015901547,0.7828308194875717,-5.473942206799984
143000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
143360,,,70,1.0170000000000001,848.19,24,5785,,,,,,,,,,
144000,0.30000000447034836,1000.0,,,,,,-0.018488430039724335,700,0.2,0.199658203125,0.0003,-0.007639821153134108,0.0024336533635505473,0.016513597,0.5824629366397858,-5.4898353442549706
145000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
145408,,,71,1.038,817.73,24,5867,,,,,,,,,,
146000,0.30000000447034836,1000.0,,,,,,-0.02266295903536957,710,0.2,0.215576171875,0.0003,-0.040966980159282684,0.001999196026827121,0.017827243,0.6419031023979187,-5.421836538612842
147000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
147456,,,72,1.0679999999999998,801.53,24,5949,,,,,,,,,,
148000,0.30000000447034836,1000.0,,,,,,-0.012985513350577094,720,0.2,0.153759765625,0.0003,-0.03003610298037529,0.0018325419630400575,0.014182635,0.6748953461647034,-5.475938905775547
149000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
149504,,,73,1.092,774.59,24,6030,,,,,,,,,,
150000,0.30000000447034836,1000.0,,,,,,-0.016304100697743705,730,0.2,0.2115234375,0.0003,-0.025438394397497177,0.001963703722367427,0.021596052,0.7115576863288879,-5.262083521485328
151000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
151552,,,74,1.114,742.31,24,6112,,,,,,,,,,
152000,0.30000000447034836,1000.0,,,,,,-0.014979773040977307,740,0.2,0.192333984375,0.0003,-0.04516720771789551,0.002341560199874948,0.014607659,0.6639544665813446,-5.4041100814938545
153000,0.30000000447034836,1000.0,,,,,,,,,,,,,,,
153600,,,75,1.1440000000000001,664.72,24,6193,,,,,,,,,,
154000,0.5000000074505806,1000.0,,,,,,-0.02050306119781453,750,0.2,0.188525390625,0.0003,-0.04027608782052994,0.0030643368298115094,0.015603867,0.6836587190628052,-5.2090586617589
155000,0.5000000074505806,1000.0,,,,,,,,,,,,,,,
155648,,,76,1.1480000000000004,600.59,24,6275,,,,,,,,,,
156000,0.5000000074505806,1000.0,,,,,,-0.015380720637040213,760,0.2,0.168017578125,0.0003,-0.00020718714222311974,0.0020112998980039267,0.015565542,0.7105697691440582,-5.191105060279369
157000,0.5000000074505806,1000.0,,,,,,,,,,,,,,,
157696,,,77,1.1600000000000004,509.78,24,6357,,,,,,,,,,
158000,0.5000000074505806,1000.0,,,,,,-0.021765137209149542,770,0.2,0.226318359375,0.0003,-0.04741030931472778,0.002665664942469448,0.017645283,0.7609400898218155,-5.023923961818218
159000,0.5000000074505806,1000.0,,,,,,,,,,,,,,,
159744,,,78,1.1330000000000005,396.69,24,6439,,,,,,,,,,
160000,0.7000000104308128,1000.0,,,,,,-0.024855479982215913,780,0.2,0.234765625,0.0003,-0.028160784393548965,0.0033266431662923425,0.021139909,0.7331112623214722,-4.895087450742722
161000,0.7000000104308128,1000.0,,,,,,,,,,,,,,,
161792,,,79,1.0950000000000004,306.46,24,6521,,,,,,,,,,
