eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance
0.0,1000.0,59000,,,,,,,,,,,,,,,
,,59392,2387,0.6864406779661016,24,1000.0,29,,,,,,,,,,
0.0,1000.0,60000,,,,,,0.02203732170164585,-6.287169462442398,0.0010020345511293272,0.0003,0.17880859375,-0.02634927571634762,0.017165288,290,0.2,0.7100327610969543
0.0,1000.0,61000,,,,,,,,,,,,,,,
,,61440,2468,0.6868852459016395,24,1000.0,30,,,,,,,,,,
0.0,1000.0,62000,,,,,,-0.054887913167476654,-6.247301666438579,0.0011513429054048174,0.0003,0.17099609375,-0.02108554420992732,0.01427505,300,0.2,0.7459089756011963
0.0,1000.0,63000,,,,,,,,,,,,,,,
,,63488,2550,0.688888888888889,24,1000.0,31,,,,,,,,,,
0.0,1000.0,64000,,,,,,-0.0221522506326437,-6.279026259481907,0.0007036414260255697,0.0003,0.2076171875,-0.024361890234285966,0.014572594,310,0.2,0.8293175995349884
0.0,1000.0,65000,,,,,,,,,,,,,,,
,,65536,2631,0.6907692307692308,24,1000.0,32,,,,,,,,,,
0.0,1000.0,66000,,,,,,-0.04293511435389519,-6.208793167769909,0.0014980229523644084,0.0003,0.18984375,-0.025553019531071187,0.016577486,320,0.2,0.7117494940757751
0.0,1000.0,67000,,,,,,,,,,,,,,,
,,67584,2712,0.7044776119402986,24,997.9402985074627,33,,,,,,,,,,
0.0,1000.0,68000,,,,,,-0.05274893715977669,-6.126471841335297,0.0008213533999423817,0.0003,0.217138671875,-0.029488747179857455,0.017557073,330,0.2,0.3563324809074402
0.0,1000.0,69000,,,,,,,,,,,,,,,
,,69632,2794,0.7043478260869566,24,1000.0,34,,,,,,,,,,
0.0,1000.0,70000,,,,,,-0.038630180060863495,-6.166907542943955,0.0005271703061907829,0.0003,0.2216796875,-0.024986710623488763,0.01675577,340,0.2,0.8889819234609604
0.0,1000.0,71000,,,,,,,,,,,,,,,
,,71680,2875,0.7056338028169015,24,1000.0,35,,,,,,,,,,
