time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/loss
83968,,,25,1000.0,41,3357,0.8144578313253011,,,,,,,,,,
84000,1000.0,0.20000000298023224,,,,,,0.0003,0.18076171875,0.016309435,410,0.2,-5.998776832222939,0.957146905362606,0.000224259214292033,-0.02619444842566736,-0.04840272292494774
85000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
86000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
86016,,,24,1000.0,42,3465,0.822093023255814,,,,,,,,,,
87000,1000.0,0.20000000298023224,,,,,,0.0003,0.178369140625,0.015705787,420,0.2,-5.968571642041207,0.8952434360980988,0.000808201378913509,-0.02055054055817891,-0.06667129695415497
88000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
88064,,,24,996.3977272727273,43,3546,0.8295454545454546,,,,,,,,,,
89000,1000.0,0.20000000298023224,,,,,,0.0003,0.18916015625,0.016768515,430,0.2,-5.887412193417549,0.7765020430088043,0.0011677427939503105,-0.025906069015036337,-0.039020512253046036
90000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
90112,,,24,1000.0,44,3628,0.8355555555555556,,,,,,,,,,
91000,1000.0,0.20000000298023224,,,,,,0.0003,0.172509765625,0.016252447,440,0.2,-5.861141395568848,0.9213965237140656,0.00038893098910648406,-0.023135671732597986,-0.03843080252408981
92000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
92160,,,24,1000.0,45,3709,0.8347826086956521,,,,,,,,,,
93000,1000.0,0.20000000298023224,,,,,,0.0003,0.18798828125,0.016351258,450,0.2,-5.796839581429959,0.9472945779561996,0.0001635818911097431,-0.030421110516181217,-0.03960276395082474
94000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
94208,,,24,1000.0,46,3790,0.8404255319148937,,,,,,,,,,
95000,1000.0,0.20000000298023224,,,,,,0.0003,0.1876953125,0.016799893,460,0.2,-5.9404288738965985,0.8668214529752731,0.0006955355127956864,-0.026487402155180462,-0.03140701353549957
96000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
96256,,,24,1000.0,47,3872,0.8385416666666666,,,,,,,,,,
97000,1000.0,0.20000000298023224,,,,,,0.0003,0.1642578125,0.013235171,470,0.2,-5.792674361169338,0.9502710737287998,0.00020316245873459594,-0.026159958173229823,-7.250950875459239e-05
98000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
98304,,,24,1000.0,48,3953,0.8367346938775511,,,,,,,,,,
99000,1000.0,0.20000000298023224,,,,,,0.0003,0.15556640625,0.016127761,480,0.2,-5.788358633220196,0.9554329998791218,0.00022972510291765502,-0.022821537373238242,-0.041640471667051315
100000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
100352,,,24,1000.0,49,4034,0.8340000000000001,,,,,,,,,,
101000,1000.0,0.20000000298023224,,,,,,0.0003,0.174853515625,0.015753774,490,0.2,-5.77551795989275,0.9569768719375134,0.00019312621725475765,-0.02773580635985127,-0.003433685749769211
102000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
102400,,,24,1003.3,50,4115,0.8340000000000001,,,,,,,,,,
103000,1000.0,0.20000000298023224,,,,,,0.0003,0.207861328125,0.016870452,500,0.2,-5.732763475179672,0.9735760521143675,0.00012844978067505508,-0.025172482355264945,-0.038015976548194885
104000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
104448,,,24,995.46,51,4196,0.83,,,,,,,,,,
