time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates
109000,0.10000000149011612,1000.0,,,,,,0.2,-0.029326298137311822,-0.01648661494255066,0.0007114281855365335,0.0003,0.7766703218221664,0.014939503,-5.993980687856674,0.183740234375,530
110000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
110592,,,4426,54,24,983.23,0.7730000000000001,,,,,,,,,,
111000,0.10000000149011612,1000.0,,,,,,0.2,-0.030596633476670833,-0.06258682906627655,0.0005414610046500457,0.0003,0.907943032681942,0.017207166,-6.00931958258152,0.19208984375,540
112000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
112640,,,4507,55,24,980.0,0.779,,,,,,,,,,
113000,0.10000000149011612,1000.0,,,,,,0.2,-0.031254459940828386,-0.04502559453248978,0.0006194537231294817,0.0003,0.9023428335785866,0.018362924,-6.005627274513245,0.2150390625,550
114000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
114688,,,4589,56,24,980.0,0.784,,,,,,,,,,
115000,0.10000000149011612,1000.0,,,,,,0.2,-0.02261254253826337,-0.02118440717458725,0.000311375552712434,0.0003,0.9154187515377998,0.01946298,-6.067575228214264,0.222216796875,560
116000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
116736,,,4670,57,24,980.0,0.7869999999999999,,,,,,,,,,
117000,0.10000000149011612,1000.0,,,,,,0.2,-0.027196886870660818,-0.04460109397768974,0.0003835137247278908,0.0003,0.8992801308631897,0.017911874,-6.053091636300087,0.21728515625,570
118000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
118784,,,4751,58,24,965.66,0.791,,,,,,,,,,
119000,0.10000000149011612,1000.0,,,,,,0.2,-0.025706309769884684,-0.04290959984064102,0.0011123831690383668,0.0003,0.7801336050033569,0.016351145,-5.847888047993183,0.183447265625,580
120000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
120832,,,4832,59,25,970.0,0.796,,,,,,,,,,
121000,0.20000000298023224,1000.0,,,,,,0.2,-0.01897627568396274,0.007847320288419724,0.0008445060280337202,0.0003,0.839812383055687,0.01736983,-5.972131085395813,0.227001953125,590
122000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
122880,,,4914,60,25,963.66,0.8099999999999998,,,,,,,,,,
123000,0.20000000298023224,1000.0,,,,,,0.2,-0.023086751843220555,-0.02807571552693844,0.0010183288470216212,0.0003,0.7739924341440201,0.016226161,-5.951343287527561,0.182421875,600
124000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
124928,,,4994,61,25,963.51,0.8270000000000002,,,,,,,,,,
125000,0.20000000298023224,1000.0,,,,,,0.2,-0.019717814090836328,-0.05069489777088165,0.001207360969601723,0.0003,0.7715187668800354,0.014451257,-5.925446796417236,0.190283203125,610
126000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
126976,,,5076,62,25,965.93,0.8430000000000001,,,,,,,,,,
127000,0.20000000298023224,1000.0,,,,,,0.2,-0.02527934988611378,-0.044827863574028015,0.0008329559877438442,0.0003,0.7428093552589417,0.014294859,-5.803534515202045,0.182666015625,620
128000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
129000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
129024,,,5184,63,24,970.0,0.8590000000000001,,,,,,,,,,
130000,0.20000000298023224,1000.0,,,,,,0.2,-0.023575599517789668,-0.0393400564789772,0.000866548415615398,0.0003,0.5969351828098297,0.016325254,-5.748333361744881,0.173388671875,630
131000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
131072,,,5266,64,24,970.0,0.8609999999999998,,,,,,,,,,
132000,0.20000000298023224,1000.0,,,,,,0.2,-0.025295548341819084,-0.031453534960746765,0.00043993419276375787,0.0003,0.7761776298284531,0.01924501,-5.899516741931438,0.212158203125,640
133000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
133120,,,5346,65,24,967.6,0.8749999999999999,,,,,,,,,,
134000,0.20000000298023224,1000.0,,,,,,0.2,-0.022547116631176322,-0.03395190089941025,0.0013025713969000209,0.0003,0.6623097956180573,0.01708367,-5.599750094115734,0.19912109375,650
135000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
135168,,,5428,66,24,970.0,0.8949999999999999,,,,,,,,,,
136000,0.20000000298023224,1000.0,,,,,,0.2,-0.027319979717140085,-0.044162455946207047,0.001064558019834294,0.0003,0.7356891632080078,0.022914305,-5.715346872806549,0.24501953125,660
137000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
137216,,,5509,67,24,963.81,0.8969999999999999,,,,,,,,,,
138000,0.20000000298023224,1000.0,,,,,,0.2,-0.026097756711533294,-0.02976287342607975,0.0009102443457777553,0.0003,0.8194383531808853,0.020233355,-5.789270371198654,0.260009765625,670
139000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
139264,,,5590,68,24,948.71,0.9180000000000001,,,,,,,,,,
140000,0.20000000298023224,1000.0,,,,,,0.2,-0.025489761428616475,-0.043463025242090225,0.0016231234825681896,0.0003,0.7459311187267303,0.018901251,-5.462333375215531,0.220458984375,680
141000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
141312,,,5672,69,24,942.25,0.9410000000000001,,,,,,,,,,
142000,0.20000000298023224,1000.0,,,,,,0.2,-0.02083837071841117,-0.05519440770149231,0.0010887488500884502,0.0003,0.8122027069330215,0.016484383,-5.450359018146992,0.1845703125,690
143000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
143360,,,5753,70,24,945.02,0.9540000000000001,,,,,,,,,,
144000,0.20000000298023224,1000.0,,,,,,0.2,-0.016842516750330105,-0.024522313848137856,0.002033634920326222,0.0003,0.7744927257299423,0.01675466,-5.354838711023331,0.214990234375,700
145000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
145408,,,5835,71,24,942.01,0.976,,,,,,,,,,
146000,0.20000000298023224,1000.0,,,,,,0.2,-0.018667157224263063,-0.03173573315143585,0.0012594406805874314,0.0003,0.8707950562238693,0.017809467,-5.262143677473068,0.20859375,710
147000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
147456,,,5916,72,24,942.01,0.987,,,,,,,,,,
148000,0.20000000298023224,1000.0,,,,,,0.2,-0.019962645557825454,-0.0338766984641552,0.0011174882413797604,0.0003,0.8478438258171082,0.015210807,-5.185481877624989,0.186474609375,720
149000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
149504,,,5998,73,24,937.28,0.9940000000000001,,,,,,,,,,
150000,0.6000000089406967,1000.0,,,,,,0.2,-0.016528801849926823,-0.031004363670945168,0.0018431907588592367,0.0003,0.8259559124708176,0.017557833,-5.094508801400662,0.21044921875,730
151000,0.6000000089406967,1000.0,,,,,,,,,,,,,,,
151552,,,6079,74,24,931.86,1.005,,,,,,,,,,
152000,0.20000000298023224,1000.0,,,,,,0.2,-0.01357481480226852,-0.0010254119988530874,0.0010804576662849287,0.0003,0.8225491046905518,0.012856359,-5.033195260167122,0.172705078125,740
153000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
153600,,,6161,75,24,934.7,1.015,,,,,,,,,,
154000,0.20000000298023224,1000.0,,,,,,0.2,-0.015370881353737787,-0.02968820184469223,0.0012767405127419806,0.0003,0.8501759469509125,0.016908582,-4.9969907104969025,0.2322265625,750
155000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
155648,,,6242,76,24,933.84,1.0300000000000002,,,,,,,,,,
156000,0.800000011920929,1000.0,,,,,,0.2,-0.013703015874489211,-0.014850830659270287,0.0014864318710579028,0.0003,0.8618380278348923,0.015689436,-4.974224355816841,0.203955078125,760
157000,0.800000011920929,1000.0,,,,,,,,,,,,,,,
157696,,,6324,77,24,927.62,1.0490000000000002,,,,,,,,,,
158000,0.20000000298023224,1000.0,,,,,,0.2,-0.008696038098423741,-0.016277626156806946,0.0030204206569578672,0.0003,0.8039785325527191,0.014190203,-4.848251476883888,0.181982421875,770
159000,0.20000000298023224,1000.0,,,,,,,,,,,,,,,
159744,,,6406,78,24,921.4,1.0670000000000002,,,,,,,,,,
160000,0.800000011920929,1000.0,,,,,,0.2,-0.00947069632820785,-0.013484863564372063,0.0031292517147676335,0.0003,0.7960905581712723,0.014934099,-4.841880439221859,0.217431640625,780
161000,0.800000011920929,1000.0,,,,,,,,,,,,,,,
161792,,,6488,79,24,897.61,1.088,,,,,,,,,,
162000,0.800000011920929,1000.0,,,,,,0.2,-0.009893183567328379,-0.012140825390815735,0.0015895660779847276,0.0003,0.8954217433929443,0.012707885,-4.7536368981003765,0.1583984375,790
163000,0.800000011920929,1000.0,,,,,,,,,,,,,,,
163840,,,6570,80,24,877.03,1.102,,,,,,,,,,
164000,0.800000011920929,1000.0,,,,,,0.2,-0.00872937384992838,-0.0033907745964825153,0.003724616416002391,0.0003,0.6806718409061432,0.018917048,-4.68782197535038,0.239111328125,800
165000,0.800000011920929,1000.0,,,,,,,,,,,,,,,
165888,,,6653,81,24,867.98,1.114,,,,,,,,,,
166000,0.800000011920929,1000.0,,,,,,0.2,-0.007646648748777807,-0.0032273170072585344,0.0018058514232734523,0.0003,0.7966218590736389,0.012947457,-4.613193547725677,0.186572265625,810
167000,0.800000011920929,1000.0,,,,,,,,,,,,,,,
167936,,,6736,82,24,860.53,1.1360000000000001,,,,,,,,,,
168000,0.800000011920929,1000.0,,,,,,0.2,-0.008547673671273515,0.028224550187587738,0.0020684982643345506,0.0003,0.7712042778730392,0.018510133,-4.497938758134842,0.223828125,820
169000,0.800000011920929,1000.0,,,,,,,,,,,,,,,
169984,,,6820,83,24,838.62,1.1530000000000002,,,,,,,,,,
170000,0.800000011920929,1000.0,,,,,,0.2,-0.0040530306403525175,0.011622078716754913,0.004298738466695795,0.0003,0.7329127788543701,0.0101440875,-4.325517946481705,0.140283203125,830
171000,0.800000011920929,1000.0,,,,,,,,,,,,,,,
